,raw_date,High,Low,Open,Close,Volume,adjclose,Date
0,1546300800,4093.29736328125,3707.231201171875,3746.71337890625,4025.248291015625,34910501413,4025.248291015625,2019-01-01
1,1546905600,4109.02099609375,3544.92724609375,4028.47216796875,3706.05224609375,37946213030,3706.05224609375,2019-01-08
2,1547510400,3758.533447265625,3558.537109375,3704.21630859375,3576.032470703125,37941559556,3576.032470703125,2019-01-15
3,1548115200,3654.93310546875,3439.23291015625,3575.081298828125,3470.450439453125,38853962474,3470.450439453125,2019-01-22
4,1548720000,3523.287353515625,3400.81982421875,3468.8701171875,3459.154052734375,38554677169,3459.154052734375,2019-01-29
5,1549324800,3695.614013671875,3391.023681640625,3454.950927734375,3648.4306640625,42168478349,3648.4306640625,2019-02-05
6,1549929600,3936.6650390625,3607.69775390625,3642.751953125,3915.71435546875,48164758199,3915.71435546875,2019-02-12
7,1550534400,4210.6416015625,3793.708984375,3911.66162109375,3882.6962890625,63263935793,3882.6962890625,2019-02-19
8,1551139200,3907.79541015625,3733.749755859375,3878.697265625,3761.55712890625,56155064469,3761.55712890625,2019-02-26
9,1551744000,3987.23779296875,3745.18310546875,3759.83251953125,3905.227294921875,70207495435,3905.227294921875,2019-03-05
10,1552348800,4077.036376953125,3863.55908203125,3903.75830078125,4032.50732421875,66878818654,4032.50732421875,2019-03-12
11,1552953600,4097.35986328125,3934.03125,4032.69189453125,3963.070556640625,68688505472,3963.070556640625,2019-03-19
12,1553558400,4296.806640625,3944.753173828125,3969.228759765625,4158.18310546875,70812996879,4158.18310546875,2019-03-26
13,1554159600,5318.83642578125,4155.31689453125,4156.91943359375,5289.77099609375,130043399993,5289.77099609375,2019-04-01
14,1554764400,5421.6513671875,4955.8525390625,5289.91796875,5067.1083984375,93962914782,5067.1083984375,2019-04-08
15,1555369200,5422.6875,5055.19482421875,5066.57763671875,5399.365234375,92596992840,5399.365234375,2019-04-15
16,1555974000,5642.04443359375,5177.36865234375,5399.36572265625,5247.3525390625,104724490358,5247.3525390625,2019-04-22
17,1556578800,5886.8935546875,5224.18994140625,5247.72607421875,5746.80712890625,109037517016,5746.80712890625,2019-04-29
18,1557183600,8047.4130859375,5741.39599609375,5745.59912109375,7814.9150390625,154870103302,7814.9150390625,2019-05-06
19,1557788400,8320.82421875,7038.12451171875,7807.88427734375,7978.30908203125,194709520575,7978.30908203125,2019-05-13
20,1558393200,8907.1748046875,7533.19677734375,7977.96923828125,8805.7783203125,177107575804,8805.7783203125,2019-05-20
21,1558998000,9008.314453125,8172.55078125,8802.7578125,8208.9951171875,167071149743,8208.9951171875,2019-05-27
